id,portafolio,y,x,ventas,canastas
1,12965,10.92465234,-74.81758407,12.83468264,63
2,30422,10.95817476,-74.79221392,12.76568986,87
3,7790,11.03014172,-74.87177789,12.76568986,68
4,9790,10.93478333,-74.81350333,12.07254125,63
5,30651,10.93156333,-74.81043667,13.81551106,86
6,7838,10.94735667,-74.80599833,13.81551106,75
7,22448,10.94781167,-74.80598,12.76568986,87
8,26762,10.93537413,-74.80674096,13.30468577,77
9,18983,10.923925,-74.80387667,13.30468577,79
10,31198,10.93555333,-74.80246833,13.81551106,86
11,21869,10.932715,-74.80869333,12.07254125,72
12,14008,10.93288667,-74.80933167,13.30468577,68
13,4444,10.934835,-74.81347833,12.76568986,65
14,31164,10.93229333,-74.80140833,12.76568986,87
15,25417,10.93077833,-74.80935333,13.30468577,79
16,14680,10.93293667,-74.803115,12.76568986,71
17,28370,10.93185,-74.82574333,13.30468577,85
18,14602,10.93246667,-74.828015,12.76568986,66
19,28334,10.93270333,-74.83081,13.30468577,80
20,21811,10.92534833,-74.816305,13.30468577,80
21,17255,10.92538833,-74.81728333,13.30468577,67
22,22410,10.92445333,-74.81717,13.81551106,82
23,9024,10.92475,-74.81730667,12.76568986,66
24,22352,10.92493667,-74.816375,13.30468577,83
25,7299,10.94547,-74.81102667,13.81551106,67
26,9981,10.92356,-74.806365,13.30468577,71
27,27410,10.92388833,-74.80657333,12.76568986,80
28,25926,10.94317833,-74.80672833,12.76568986,72
29,17522,10.93981667,-74.80399167,13.81551106,70
30,26079,10.96423333,-74.83011,13.30468577,72
31,12276,10.96389667,-74.83168667,12.76568986,70
32,20225,10.96392667,-74.83229333,13.30468577,71
33,12824,10.96333167,-74.83348667,12.07254125,71
34,9699,10.97905833,-74.82460333,12.07254125,73
35,17968,10.97518167,-74.84128667,13.30468577,73
36,27524,10.97593,-74.816075,13.30468577,79
37,27323,10.9726092,-74.8217413,13.30468577,80
38,18695,10.97549785,-74.81717083,12.76568986,72
39,29652,10.97471293,-74.82835406,13.30468577,81
40,26759,10.97463594,-74.82685591,12.76568986,76
41,10483,10.9482668,-74.829801,13.30468577,73
42,20991,10.95772333,-74.81455667,12.76568986,79
43,26844,10.93256313,-74.79792085,12.76568986,79
44,28041,10.93118,-74.798475,12.76568986,81
45,28357,10.95464333,-74.82817667,12.07254125,82
46,12807,10.97555372,-74.81230371,12.76568986,68
47,28267,10.97407304,-74.78672594,13.30468577,83
48,23554,10.98256979,-74.8311111,12.76568986,72
49,3709,10.98085667,-74.82806667,12.76568986,59
50,12825,10.97734005,-74.82806584,13.30468577,70
51,16675,10.98262117,-74.77500404,13.81551106,69
52,24892,10.9519491,-74.78009179,12.76568986,75
53,9377,10.95532629,-74.76927892,13.30468577,62
54,19597,10.95017042,-74.78270853,12.76568986,83
55,31314,10.95767036,-74.78334311,12.76568986,89
56,9737,10.950365,-74.8109016,13.30468577,61
57,28370,11.04248517,-74.82698126,13.30468577,85
58,8701,10.93864104,-74.80118576,12.76568986,66
59,28143,10.93877581,-74.80278194,13.30468577,84
60,16132,10.9348026,-74.8026182,12.76568986,78
61,31058,10.93332293,-74.80242401,12.76568986,87
62,30878,10.92226405,-74.80053193,12.76568986,81
63,30271,10.9331037,-74.8004727,13.81551106,83
64,7473,10.92344464,-74.80598214,12.76568986,57
65,26894,10.92343399,-74.80609414,12.76568986,78
66,15102,10.93109833,-74.80346833,13.81551106,67
67,14493,10.92581,-74.80510333,13.30468577,63
68,24616,10.94247219,-74.82450336,13.81551106,77
69,26446,10.944083,-74.822292,12.76568986,69
70,28366,10.95038418,-74.80580398,13.81551106,82
71,3416,10.95183311,-74.80602542,12.76568986,52
72,12173,10.93426345,-74.82098608,12.76568986,64
73,13207,10.93659893,-74.81003749,13.81551106,79
74,4165,10.93251617,-74.82452764,12.76568986,59
75,28059,10.94732,-74.80777833,13.81551106,80
76,24217,10.9317656,-74.82467271,13.30468577,64
77,13152,10.944165,-74.81412,12.76568986,72
78,17470,10.93742725,-74.80452027,13.30468577,70
79,15519,10.97434763,-74.83812856,13.30468577,81
80,22694,10.928513,-74.810753,13.30468577,74
81,12146,10.96843826,-74.83629369,13.81551106,69
82,25238,10.9691538,-74.83150757,13.81551106,70
83,6763,10.97313393,-74.83346451,13.30468577,62
84,8660,10.95576231,-74.80251047,12.07254125,63
85,30490,10.95571322,-74.80311742,12.76568986,82
86,12014,10.97863649,-74.82558956,12.76568986,65
87,23138,10.968235,-74.82299,12.76568986,74
88,22988,10.97025506,-74.82306699,13.81551106,66
89,23495,10.97246445,-74.82312574,12.76568986,76
90,5358,10.954295,-74.819535,12.76568986,64
91,30614,10.94729005,-74.83035585,13.30468577,77
92,25243,10.94802548,-74.83102159,13.30468577,71
93,19108,10.9486754,-74.83078734,12.76568986,72
94,21448,10.94938875,-74.83048902,13.30468577,74
95,31039,10.9463258,-74.8284669,13.30468577,81
96,12310,10.94518,-74.8287433,13.81551106,71
97,23582,10.97586679,-74.80923614,13.30468577,76
98,14746,10.95784386,-74.81703019,13.81551106,68
99,12912,10.95081651,-74.78282828,12.76568986,62
100,13155,10.95194497,-74.78324135,13.30468577,75
101,27459,10.97546812,-74.81157091,13.30468577,76
102,28038,10.95460837,-74.78069885,13.30468577,80
103,28366,10.93499521,-74.79062229,13.81551106,81
104,21995,10.96367747,-74.81022724,13.30468577,78
105,14904,10.95446673,-74.77883399,12.76568986,79
106,30126,10.93256944,-74.79792087,13.30468577,78
107,21371,10.93318735,-74.79676251,13.81551106,75
108,31327,10.93483735,-74.79432749,13.81551106,84
109,9702,10.93183583,-74.79261053,12.76568986,66
110,22488,10.94302441,-74.79819545,12.76568986,87
111,3668,10.9620018,-74.77087901,13.30468577,56
112,8267,10.95902721,-74.76980686,12.76568986,63
113,7320,10.96114743,-74.76993442,12.76568986,63
114,21915,10.961155,-74.770674,13.30468577,76
115,27020,10.94578333,-74.76582,12.76568986,79
116,5232,10.9357782,-74.7931278,12.76568986,67
117,24291,10.9661597,-74.77629808,13.30468577,71
118,13806,11.0413733,-74.8275133,13.81551106,72
119,27366,10.9421359,-74.81985264,13.81551106,76
120,25317,10.9301032,-74.80769529,13.81551106,78
121,4579,10.94736991,-74.80339006,12.76568986,44
122,15948,10.92546829,-74.80713872,12.76568986,70
123,19133,10.92573705,-74.8038181,12.07254125,65
124,27601,10.92917196,-74.80705788,13.81551106,78
125,10215,10.93255657,-74.82774675,12.07254125,60
126,4669,10.93531253,-74.81930635,12.76568986,59
127,30610,10.936115,-74.80213,12.76568986,76
128,13251,10.93733136,-74.80312502,13.30468577,58
129,15747,10.9273586,-74.81406859,13.81551106,63
130,11195,10.97449433,-74.84507419,12.07254125,63
131,21270,10.97424667,-74.84515333,12.76568986,67
132,18479,10.98183378,-74.83406668,13.81551106,72
133,5327,10.93630651,-74.8249997,13.81551106,48
134,8090,10.97206048,-74.83935658,13.30468577,59
135,27779,10.97258175,-74.83815705,13.30468577,75
136,7853,10.96741246,-74.82448857,13.30468577,74
137,28850,10.97066962,-74.83011274,12.76568986,82
138,27632,10.970506,-74.82862983,13.30468577,84
139,18210,10.97179716,-74.82595412,13.81551106,66
140,19163,10.97641617,-74.81828819,13.81551106,72
141,22082,10.95505705,-74.82556359,13.30468577,80
142,11287,10.96919168,-74.81567793,13.81551106,66
143,16957,10.97169136,-74.81397891,13.30468577,73
144,40,10.97269628,-74.81750931,12.76568986,34
145,25102,10.96211843,-74.80328461,13.81551106,67
146,31374,10.95950953,-74.8050043,13.30468577,93
147,19302,10.93231869,-74.7950548,12.76568986,70
148,28366,10.93044123,-74.79834973,12.76568986,84
149,3260,10.93244909,-74.79193786,12.76568986,40
150,18259,10.9349757,-74.79601941,12.07254125,63
151,19305,10.934175,-74.79807,12.76568986,73
152,27705,10.9339363,-74.79818917,13.81551106,75
153,12720,10.93634469,-74.78880125,12.76568986,74
154,3260,10.93219714,-74.7944523,12.07254125,41
155,21262,10.95127177,-74.82967867,12.76568986,74
156,17095,10.95419093,-74.77249541,13.81551106,72
157,27105,10.96187314,-74.77173308,13.30468577,73
158,9492,10.95851918,-74.77256635,12.76568986,65
159,23581,10.95413809,-74.81438508,12.76568986,74
160,4161,10.97975257,-74.78488971,13.81551106,54
161,10407,10.97972336,-74.78066242,13.81551106,62
162,22166,11.04227462,-74.82654202,13.81551106,82
163,31024,10.925775,-74.80321333,12.76568986,87
164,27992,10.92361974,-74.80380757,12.76568986,84
165,21886,10.92617877,-74.80788894,13.81551106,77
