Id_Tabla,Levdireccion,Levdirnum,Levpropietario,Levtelefono,Lev_Sticker,Levnombreestablecimiento,DistanciaEnMetros,Match
1,100%,93%,43%,0%,0%,100%,,1
2,100%,100%,74%,0%,0%,39%,,1
3,85%,90%,54%,0%,0%,100%,21,1
4,81%,83%,46%,0%,0%,100%,2,1
5,100%,100%,50%,0%,0%,95%,28,1
6,100%,100%,42%,0%,0%,87%,,1
7,86%,90%,42%,0%,0%,87%,1,1
8,96%,94%,43%,0%,0%,100%,3,1
9,80%,88%,62%,0%,0%,69%,24,1
10,100%,100%,54%,0%,0%,72%,,1
11,95%,94%,55%,0%,0%,82%,35,1
12,85%,90%,55%,0%,0%,70%,,1
13,93%,94%,46%,0%,0%,80%,1,1
14,100%,100%,46%,0%,0%,100%,,1
15,93%,100%,50%,0%,0%,47%,1,1
16,88%,92%,52%,0%,0%,59%,,1
17,97%,95%,44%,0%,0%,44%,1,1
18,100%,100%,45%,0%,0%,56%,,1
19,80%,88%,67%,0%,0%,100%,,1
20,100%,100%,47%,0%,0%,57%,,1
21,100%,100%,47%,0%,0%,71%,1,1
22,100%,92%,62%,0%,0%,57%,6,1
23,100%,100%,50%,0%,0%,70%,,1
24,75%,82%,42%,0%,0%,0%,,1
25,76%,84%,50%,0%,0%,86%,42,1
26,90%,86%,39%,0%,0%,75%,2,1
27,92%,100%,45%,0%,0%,71%,21,1
28,61%,68%,48%,0%,0%,94%,16,1
29,100%,93%,54%,0%,0%,76%,4,1
30,100%,100%,47%,0%,0%,59%,,1
31,92%,88%,41%,0%,0%,100%,23,1
32,80%,88%,32%,0%,0%,100%,6,1
33,100%,100%,47%,0%,0%,42%,11,1
34,81%,82%,45%,0%,0%,100%,,1
35,92%,100%,53%,0%,0%,52%,,1
36,96%,93%,59%,0%,0%,100%,,1
37,82%,88%,51%,0%,0%,83%,5,1
38,91%,93%,43%,0%,0%,37%,7,1
39,91%,100%,58%,0%,0%,42%,11,1
40,70%,83%,41%,0%,0%,100%,18,1
41,95%,94%,52%,0%,0%,62%,24,1
42,100%,100%,52%,0%,0%,48%,31,1
43,100%,100%,52%,0%,0%,50%,,1
44,94%,89%,59%,0%,0%,87%,12,1
45,84%,89%,50%,0%,0%,91%,,1
46,91%,87%,51%,0%,0%,100%,20,1
47,85%,89%,43%,0%,0%,100%,1,1
48,96%,100%,55%,0%,0%,30%,9,1
49,100%,100%,50%,0%,0%,53%,,1
50,97%,94%,54%,0%,0%,50%,14,1
51,100%,100%,52%,0%,0%,61%,12,1
52,100%,100%,52%,0%,0%,40%,13,1
53,100%,100%,55%,0%,0%,64%,13,1
54,100%,93%,60%,0%,0%,71%,7,1
55,100%,93%,41%,0%,0%,100%,,1
56,100%,93%,48%,0%,100%,72%,,1
57,91%,100%,40%,0%,0%,50%,,1
